gene_name	gene_id	chr_hg38	start_hg38	end_hg38	strand_hg38	tss_hg38	chr_hg19	tss_hg19
NOC2L	ENSG00000188976	1	944204	959309	-	959309	chr1	894689
KLHL17	ENSG00000187961	1	960587	965715	+	960587	chr1	895967
PLEKHN1	ENSG00000187583	1	966497	975865	+	966497	chr1	901877
PERM1	ENSG00000187642	1	975204	982093	-	982093	chr1	917473
AL645608.8	ENSG00000272512	1	995966	998051	-	998051	chr1	933431
HES4	ENSG00000188290	1	998962	1000172	-	1000172	chr1	935552
ISG15	ENSG00000187608	1	1001138	1014541	+	1001138	chr1	936518
AL645608.4	ENSG00000231702	1	1008076	1008229	-	1008229	chr1	943609
AL645608.2	ENSG00000224969	1	1011997	1013193	-	1013193	chr1	948573
AGRN	ENSG00000188157	1	1020123	1056118	+	1020123	chr1	955503
AL645608.6	ENSG00000242590	1	1055033	1056116	+	1055033	chr1	990413
AL390719.1	ENSG00000217801	1	1059734	1069355	+	1059734	chr1	995114
AL645608.9	ENSG00000273443	1	1062208	1063288	-	1063288	chr1	998668
RNF223	ENSG00000237330	1	1070966	1074307	-	1074307	chr1	1009687
C1orf159	ENSG00000131591	1	1081818	1116361	-	1116361	chr1	1051741
LINC01342	ENSG00000223823	1	1137017	1144056	+	1137017	chr1	1072397
MIR200B	ENSG00000207730	1	1167104	1167198	+	1167104	chr1	1102484
MIR200A	ENSG00000207607	1	1167863	1167952	+	1167863	chr1	1103243
MIR429	ENSG00000198976	1	1169005	1169087	+	1169005	chr1	1104385
AL390719.2	ENSG00000272141	1	1169357	1170343	+	1169357	chr1	1104737
TTLL10-AS1	ENSG00000205231	1	1173056	1179555	-	1179555	chr1	1114935
TTLL10	ENSG00000162571	1	1173884	1197935	+	1173884	chr1	1109264
TNFRSF18	ENSG00000186891	1	1203508	1206691	-	1206691	chr1	1142071
TNFRSF4	ENSG00000186827	1	1211326	1214138	-	1214138	chr1	1149518
SDF4	ENSG00000078808	1	1216908	1232031	-	1232031	chr1	1167411
B3GALT6	ENSG00000176022	1	1232265	1235041	+	1232265	chr1	1167645
C1QTNF12	ENSG00000184163	1	1242446	1246722	-	1246722	chr1	1182102
AL162741.1	ENSG00000260179	1	1249777	1251334	-	1251334	chr1	1186714
UBE2J2	ENSG00000160087	1	1253909	1273885	-	1273885	chr1	1209265
LINC01786	ENSG00000230415	1	1275223	1280420	+	1275223	chr1	1210603
SCNN1D	ENSG00000162572	1	1280436	1292029	+	1280436	chr1	1215816
ACAP3	ENSG00000131584	1	1292376	1309609	-	1309609	chr1	1244989
MIR6726	ENSG00000278073	1	1296110	1296170	-	1296170	chr1	1231550
PUSL1	ENSG00000169972	1	1308567	1311677	+	1308567	chr1	1243947
INTS11	ENSG00000127054	1	1311585	1324691	-	1324691	chr1	1260071
MIR6727	ENSG00000283712	1	1312502	1312566	-	1312566	chr1	1247946
AL139287.1	ENSG00000240731	1	1317581	1318689	-	1318689	chr1	1254069
CPTP	ENSG00000224051	1	1324756	1328897	+	1324756	chr1	1260136
TAS1R3	ENSG00000169962	1	1331314	1335306	+	1331314	chr1	1266694
DVL1	ENSG00000107404	1	1335276	1349350	-	1349350	chr1	1284730
MIR6808	ENSG00000284372	1	1339650	1339708	-	1339708	chr1	1275088
MXRA8	ENSG00000162576	1	1352689	1361777	-	1361777	chr1	1297157
AURKAIP1	ENSG00000175756	1	1373730	1375495	-	1375495	chr1	1310875
NDUFB4P8	ENSG00000223663	1	1378666	1379032	+	1378666	chr1	1314046
CCNL2	ENSG00000221978	1	1385711	1399328	-	1399328	chr1	1334708
AL391244.1	ENSG00000224870	1	1399522	1402046	+	1399522	chr1	1334902
MRPL20	ENSG00000242485	1	1401908	1407313	-	1407313	chr1	1342693
RN7SL657P	ENSG00000264293	1	1405460	1405752	-	1405752	chr1	1341132
AL391244.3	ENSG00000272455	1	1409096	1410618	+	1409096	chr1	1344476
ANKRD65	ENSG00000235098	1	1418420	1421769	-	1421769	chr1	1357149
AL391244.2	ENSG00000225905	1	1420245	1422691	+	1420245	chr1	1355625
TMEM88B	ENSG00000205116	1	1426128	1427787	+	1426128	chr1	1361508
LINC01770	ENSG00000225285	1	1430539	1434573	-	1434573	chr1	1369953
VWA1	ENSG00000179403	1	1434861	1442882	+	1434861	chr1	1370241
ATAD3C	ENSG00000215915	1	1449689	1470158	+	1449689	chr1	1385069
ATAD3B	ENSG00000160072	1	1471769	1497848	+	1471769	chr1	1407149
AL645728.2	ENSG00000284740	1	1503250	1509452	+	1503250	chr1	1438630
ATAD3A	ENSG00000197785	1	1512151	1534687	+	1512151	chr1	1447531
TMEM240	ENSG00000205090	1	1535174	1540453	-	1540453	chr1	1475833
SSU72	ENSG00000160075	1	1541673	1574869	-	1574869	chr1	1510249
AL645728.1	ENSG00000215014	1	1574975	1577075	+	1574975	chr1	1510355
AL691432.3	ENSG00000274481	1	1583510	1583909	-	1583909	chr1	1519289
FNDC10	ENSG00000228594	1	1598012	1600096	-	1600096	chr1	1535476
AL691432.2	ENSG00000272106	1	1613758	1615795	-	1615795	chr1	1551175
MIB2	ENSG00000197530	1	1615415	1630610	+	1615415	chr1	1550795
MMP23B	ENSG00000189409	1	1632095	1635263	+	1632095	chr1	1567474
CDK11B	ENSG00000248333	1	1635227	1659012	-	1659012	chr1	1590473
FO704657.1	ENSG00000272004	1	1659325	1662602	+	1659325	chr1	1590786
SLC35E2B	ENSG00000189339	1	1659529	1692728	-	1692728	chr1	1624167
AL691432.1	ENSG00000269737	1	1671990	1674397	+	1671990	chr1	1603429
MMP23A	ENSG00000215914	1	1699942	1701782	+	1699942	chr1	1631381
CDK11A	ENSG00000008128	1	1702730	1724324	-	1724324	chr1	1655763
AL031282.2	ENSG00000268575	1	1702736	1737688	-	1737688	chr1	1669127
AL031282.1	ENSG00000227775	1	1724512	1737251	+	1724512	chr1	1655951
SLC35E2	ENSG00000215790	1	1724838	1745992	-	1745992	chr1	1677431
NADK	ENSG00000008130	1	1751232	1780457	-	1780457	chr1	1711896
GNB1	ENSG00000078369	1	1785285	1891117	-	1891117	chr1	1822556
AL109917.1	ENSG00000231050	1	1891471	1892658	+	1891471	chr1	1822910
CALML6	ENSG00000169885	1	1914827	1917296	+	1914827	chr1	1846266
TMEM52	ENSG00000178821	1	1917590	1919273	-	1919273	chr1	1850712
CFAP74	ENSG00000142609	1	1921951	2003837	-	2003837	chr1	1935276
AL391845.2	ENSG00000233542	1	2013213	2015530	-	2015530	chr1	1946969
GABRD	ENSG00000187730	1	2019298	2030758	+	2019298	chr1	1950737
AL391845.1	ENSG00000226969	1	2049203	2050070	-	2050070	chr1	1981509
PRKCZ	ENSG00000067606	1	2050470	2185395	+	2050470	chr1	1981909
AL590822.2	ENSG00000271806	1	2141084	2145279	-	2145279	chr1	2076718
PRKCZ-AS1	ENSG00000182873	1	2181794	2184389	-	2184389	chr1	2115828
FAAP20	ENSG00000162585	1	2184461	2212720	-	2212720	chr1	2144159
AL590822.1	ENSG00000234396	1	2212523	2220738	+	2212523	chr1	2143962
SKI	ENSG00000157933	1	2228695	2310119	+	2228695	chr1	2160134
MORN1	ENSG00000116151	1	2321253	2391707	-	2391707	chr1	2323146
AL589739.1	ENSG00000272161	1	2326201	2326693	-	2326693	chr1	2258132
AL513477.1	ENSG00000269896	1	2350414	2352820	-	2352820	chr1	2284259
AL513477.2	ENSG00000272420	1	2363061	2363628	-	2363628	chr1	2295067
RER1	ENSG00000157916	1	2391775	2405444	+	2391775	chr1	2323214
PEX10	ENSG00000157911	1	2403964	2413797	-	2413797	chr1	2345236
PLCH2	ENSG00000149527	1	2425980	2505530	+	2425980	chr1	2357419
AL139246.1	ENSG00000224387	1	2492300	2493258	-	2493258	chr1	2424697
AL139246.4	ENSG00000229393	1	2493437	2494479	-	2494479	chr1	2425918
PANK4	ENSG00000157881	1	2508533	2526628	-	2526628	chr1	2458067
HES5	ENSG00000197921	1	2528745	2530245	-	2530245	chr1	2461684
AL139246.5	ENSG00000272449	1	2546465	2547460	+	2546465	chr1	2477904
TNFRSF14-AS1	ENSG00000238164	1	2549920	2557031	-	2557031	chr1	2488470
TNFRSF14	ENSG00000157873	1	2555639	2565382	+	2555639	chr1	2487078
AL139246.2	ENSG00000225931	1	2566410	2569888	+	2566410	chr1	2497849
AL139246.3	ENSG00000228037	1	2581560	2584533	+	2581560	chr1	2512999
FAM213B	ENSG00000157870	1	2586491	2591469	+	2586491	chr1	2517930
MMEL1	ENSG00000142606	1	2590639	2632990	-	2632990	chr1	2564429
AL831784.1	ENSG00000237058	1	2632568	2636620	+	2632568	chr1	2564007
TTC34	ENSG00000215912	1	2635976	2801717	-	2801717	chr1	2718282
AC242022.1	ENSG00000283259	1	2773603	2776473	+	2773603	chr1	2690149
AL592464.2	ENSG00000233234	1	2811850	2812692	-	2812692	chr1	2729257
AL592464.1	ENSG00000231630	1	2814432	2814998	-	2814998	chr1	2731563
AL589702.1	ENSG00000284745	1	2960658	2968707	-	2968707	chr1	2885272
ACTRT2	ENSG00000169717	1	3021483	3022903	+	3021483	chr1	2938047
LINC00982	ENSG00000177133	1	3059615	3068437	-	3068437	chr1	2985001
PRDM16	ENSG00000142611	1	3069168	3438621	+	3069168	chr1	2985732
MIR4251	ENSG00000283572	1	3127975	3128035	+	3127975	chr1	3044539
AL008733.1	ENSG00000226286	1	3132927	3133709	-	3133709	chr1	3050273
AL512383.1	ENSG00000279839	1	3205988	3208664	+	3205988	chr1	3122552
AL590438.1	ENSG00000272235	1	3306636	3310096	-	3310096	chr1	3226660
ARHGEF16	ENSG00000130762	1	3454426	3481113	+	3454426	chr1	3370990
AL512413.1	ENSG00000272088	1	3487246	3487627	+	3487246	chr1	3403810
MEGF6	ENSG00000162591	1	3489920	3611495	-	3611495	chr1	3528059
MIR551A	ENSG00000207776	1	3560695	3560790	-	3560790	chr1	3477354
AL513320.1	ENSG00000238260	1	3623190	3624743	-	3624743	chr1	3541307
TPRG1L	ENSG00000158109	1	3625002	3630127	+	3625002	chr1	3541566
WRAP73	ENSG00000116213	1	3630767	3652761	-	3652761	chr1	3569325
TP73	ENSG00000078900	1	3652520	3736201	+	3652520	chr1	3569084
AL136528.1	ENSG00000227589	1	3658938	3668772	-	3668772	chr1	3585336
AL136528.2	ENSG00000235131	1	3712200	3714298	-	3714298	chr1	3630862
TP73-AS1	ENSG00000227372	1	3735601	3747336	-	3747336	chr1	3663900
TP73-AS1	ENSG00000276189	1	3736943	3737103	+	3736943	chr1	3653507
CCDC27	ENSG00000162592	1	3746460	3771645	+	3746460	chr1	3663024
SMIM1	ENSG00000235169	1	3772788	3775982	+	3772788	chr1	3689352
LRRC47	ENSG00000130764	1	3778558	3796504	-	3796504	chr1	3713068
RN7SL574P	ENSG00000266075	1	3782815	3783111	+	3782815	chr1	3699379
AL365330.1	ENSG00000272153	1	3785008	3785538	+	3785008	chr1	3701572
CEP104	ENSG00000116198	1	3812081	3857214	-	3857214	chr1	3773778
DFFB	ENSG00000169598	1	3857267	3885429	+	3857267	chr1	3773831
C1orf174	ENSG00000198912	1	3889125	3900293	-	3900293	chr1	3816857
LINC01134	ENSG00000236423	1	3900372	3917225	+	3900372	chr1	3816936
LINC01346	ENSG00000233304	1	3940565	3955262	+	3940565	chr1	4000625
LINC01345	ENSG00000226374	1	3944547	3948980	-	3948980	chr1	4009040
AL805961.1	ENSG00000284668	1	3976133	4012699	+	3976133	chr1	4036193
AL805961.2	ENSG00000284703	1	4012921	4019508	-	4019508	chr1	4079568
EEF1DP6	ENSG00000229280	1	4175528	4175899	-	4175899	chr1	4235959
LINC01777	ENSG00000235054	1	4412027	4424689	+	4412027	chr1	4472087
AL355602.1	ENSG00000284694	1	4479131	4484375	-	4484375	chr1	4544435
Z98747.1	ENSG00000227169	1	4551735	4552145	-	4552145	chr1	4612205
LINC01646	ENSG00000232596	1	4571481	4594009	+	4571481	chr1	4631541
AJAP1	ENSG00000196581	1	4654732	4792534	+	4654732	chr1	4714792
BX005132.2	ENSG00000284739	1	4963954	4973298	-	4973298	chr1	5033358
BX005132.1	ENSG00000284674	1	4973381	4981568	+	4973381	chr1	5033441
AL691497.1	ENSG00000231510	1	5086459	5090899	-	5090899	chr1	5150959
AL139823.1	ENSG00000284616	1	5301928	5307394	-	5307394	chr1	5367454
Z98259.3	ENSG00000284692	1	5478736	5493057	-	5493057	chr1	5553117
Z98259.2	ENSG00000284666	1	5480787	5482028	-	5482028	chr1	5542088
Z98259.1	ENSG00000260972	1	5492978	5494674	+	5492978	chr1	5553038
Z97988.1	ENSG00000283356	1	5554747	5554881	+	5554747	chr1	5614807
AL365255.1	ENSG00000236948	1	5561709	5668295	-	5668295	chr1	5728355
MIR4417	ENSG00000264341	1	5564071	5564143	+	5564071	chr1	5624131
MIR4689	ENSG00000264101	1	5862672	5862741	-	5862741	chr1	5922801
NPHP4	ENSG00000131697	1	5862811	5992473	-	5992473	chr1	6052533
KCNAB2	ENSG00000069424	1	5991466	6101193	+	5991466	chr1	6051526
CHD5	ENSG00000116254	1	6101793	6180123	-	6180123	chr1	6240183
RPL22	ENSG00000116251	1	6181269	6209389	-	6209389	chr1	6269449
AL031847.1	ENSG00000226944	1	6204840	6205780	-	6205780	chr1	6265840
RNF207	ENSG00000158286	1	6205475	6221299	+	6205475	chr1	6265535
ICMT	ENSG00000116237	1	6221193	6235972	-	6235972	chr1	6296032
LINC00337	ENSG00000225077	1	6236240	6239444	+	6236240	chr1	6296300
HES3	ENSG00000173673	1	6244192	6245578	+	6244192	chr1	6304252
GPR153	ENSG00000158292	1	6247346	6260975	-	6260975	chr1	6321035
ACOT7	ENSG00000097021	1	6264269	6394391	-	6394391	chr1	6454451
AL031848.2	ENSG00000271746	1	6393555	6394391	+	6393555	chr1	6453615
HES2	ENSG00000069812	1	6412418	6424670	-	6424670	chr1	6484730
ESPN	ENSG00000187017	1	6424788	6461370	+	6424788	chr1	6484848
MIR4252	ENSG00000265392	1	6429834	6429896	-	6429896	chr1	6489956
AL031848.1	ENSG00000231868	1	6443034	6447006	-	6447006	chr1	6507066
TNFRSF25	ENSG00000215788	1	6461151	6466195	-	6466195	chr1	6526255
PLEKHG5	ENSG00000171680	1	6466092	6520061	-	6520061	chr1	6580121
NOL9	ENSG00000162408	1	6521347	6554535	-	6554535	chr1	6614595
RNU6-731P	ENSG00000253022	1	6540854	6540964	+	6540854	chr1	6600914
AL591866.1	ENSG00000229519	1	6547905	6548619	+	6547905	chr1	6607965
TAS1R1	ENSG00000173662	1	6555181	6579757	+	6555181	chr1	6615241
ZBTB48	ENSG00000204859	1	6580001	6589280	+	6580001	chr1	6640061
KLHL21	ENSG00000162413	1	6590724	6614607	-	6614607	chr1	6674667
PHF13	ENSG00000116273	1	6613685	6624033	+	6613685	chr1	6673745
THAP3	ENSG00000041988	1	6624866	6635586	+	6624866	chr1	6684926
DNAJC11	ENSG00000007923	1	6634168	6701924	-	6701924	chr1	6761984
LINC01672	ENSG00000228750	1	6724637	6730012	+	6724637	chr1	6784697
AL591163.1	ENSG00000284744	1	6767954	6770038	+	6767954	chr1	6828014
CAMTA1-DT	ENSG00000237436	1	6783892	6784843	-	6784843	chr1	6844903
CAMTA1	ENSG00000171735	1	6785324	7769706	+	6785324	chr1	6845384
AL590128.1	ENSG00000227950	1	6834333	6834618	-	6834618	chr1	6894678
AL512330.1	ENSG00000237365	1	7008376	7014279	-	7014279	chr1	7074339
RNU1-8P	ENSG00000207056	1	7219360	7219524	+	7219360	chr1	7279420
CAMTA1-IT1	ENSG00000237402	1	7368942	7370270	+	7368942	chr1	7429003
Z97987.1	ENSG00000237728	1	7382487	7389754	-	7389754	chr1	7449814
AL365194.1	ENSG00000225126	1	7441096	7441554	-	7441554	chr1	7501614
AL359881.3	ENSG00000270171	1	7693124	7694844	-	7694844	chr1	7754904
AL359881.2	ENSG00000270035	1	7698303	7698872	-	7698872	chr1	7758932
AL359881.1	ENSG00000269978	1	7700704	7700970	-	7700970	chr1	7761030
VAMP3	ENSG00000049245	1	7771269	7781432	+	7771269	chr1	7831329
Z98884.2	ENSG00000269925	1	7776383	7776775	+	7776383	chr1	7836443
PER3	ENSG00000049246	1	7784320	7845177	+	7784320	chr1	7844380
Z98884.1	ENSG00000236266	1	7810242	7827342	-	7827342	chr1	7887402
UTS2	ENSG00000049247	1	7843083	7853512	-	7853512	chr1	7913572
TNFRSF9	ENSG00000049249	1	7915894	7943165	-	7943165	chr1	8003225
AL009183.1	ENSG00000270330	1	7942372	7942726	+	7942372	chr1	8002432
PARK7	ENSG00000116288	1	7954291	7985505	+	7954291	chr1	8014351
Y_RNA	ENSG00000200344	1	7982881	7982983	-	7982983	chr1	8043043
AL034417.4	ENSG00000284747	1	7991134	8005312	+	7991134	chr1	8051194
AL034417.3	ENSG00000284716	1	7998187	7999934	-	7999934	chr1	8059994
ERRFI1	ENSG00000116285	1	8004404	8026308	-	8026308	chr1	8086368
AL034417.2	ENSG00000238290	1	8026738	8122702	+	8026738	chr1	8086798
AL034417.1	ENSG00000232848	1	8057245	8058463	-	8058463	chr1	8118523
AL358876.1	ENSG00000229305	1	8189824	8192770	+	8189824	chr1	8249884
LINC01714	ENSG00000227634	1	8202429	8215210	+	8202429	chr1	8262489
RNU1-7P	ENSG00000200975	1	8206434	8206597	-	8206597	chr1	8266657
AL358876.2	ENSG00000233645	1	8218190	8220529	-	8220529	chr1	8280589
RNU6-991P	ENSG00000251977	1	8292157	8292263	-	8292263	chr1	8352323
SLC45A1	ENSG00000162426	1	8317826	8344167	+	8317826	chr1	8377886
Y_RNA	ENSG00000252254	1	8328067	8328179	+	8328067	chr1	8388127
RERE	ENSG00000142599	1	8352397	8817643	-	8817643	chr1	8877702
AL096855.1	ENSG00000232912	1	8424645	8434838	+	8424645	chr1	8484705
SNORA77	ENSG00000221083	1	8511795	8511919	-	8511919	chr1	8571978
AL096855.2	ENSG00000270282	1	8512653	8513021	+	8512653	chr1	8572712
RPL7P11	ENSG00000234619	1	8750430	8751087	+	8750430	chr1	8810489
RPL7P7	ENSG00000224315	1	8786211	8786913	-	8786913	chr1	8846972
Y_RNA	ENSG00000222511	1	8796571	8796673	-	8796673	chr1	8856732
AL357552.1	ENSG00000226545	1	8798475	8799506	+	8798475	chr1	8858534
AL357552.2	ENSG00000228423	1	8805860	8807051	-	8807051	chr1	8867110
RPL23AP19	ENSG00000229716	1	8831007	8831375	+	8831007	chr1	8891066
ENO1	ENSG00000074800	1	8861002	8879249	-	8879249	chr1	8939308
MIR6728	ENSG00000274258	1	8866502	8866590	-	8866590	chr1	8926649
ENO1-IT1	ENSG00000236269	1	8875788	8878007	-	8878007	chr1	8938066
ENO1-AS1	ENSG00000230679	1	8878835	8879894	+	8878835	chr1	8938894
RNU6-304P	ENSG00000201725	1	8883427	8883533	-	8883533	chr1	8943592
HMGN2P17	ENSG00000238249	1	8893409	8894151	+	8893409	chr1	8953468
AL139415.1	ENSG00000232208	1	8907393	8907744	-	8907744	chr1	8967803
AL139415.2	ENSG00000232663	1	8909742	8909904	+	8909742	chr1	8969801
CA6	ENSG00000131686	1	8945867	8975092	+	8945867	chr1	9005926
RN7SL451P	ENSG00000265141	1	8979576	8979874	-	8979874	chr1	9039933
SLC2A7	ENSG00000197241	1	9003300	9026345	-	9026345	chr1	9086404
SLC2A5	ENSG00000142583	1	9035107	9088478	-	9088478	chr1	9148537
SCARNA16	ENSG00000252404	1	9082696	9082879	+	9082696	chr1	9142755
GPR157	ENSG00000180758	1	9100305	9129170	-	9129170	chr1	9189229
MIR34AHG	ENSG00000228526	1	9148011	9196983	-	9196983	chr1	9257042
MIR34A	ENSG00000284357	1	9151668	9151777	-	9151777	chr1	9211836
LINC01759	ENSG00000234546	1	9182004	9196284	+	9182004	chr1	9242063
Z98044.1	ENSG00000281937	1	9197143	9198906	-	9198906	chr1	9258965
H6PD	ENSG00000049239	1	9234775	9271337	+	9234775	chr1	9294834
SPSB1	ENSG00000171621	1	9292880	9369532	+	9292880	chr1	9352939
BX323043.1	ENSG00000284652	1	9421098	9422862	-	9422862	chr1	9482921
AL928921.2	ENSG00000284693	1	9425094	9440564	-	9440564	chr1	9500623
RNA5SP40	ENSG00000252956	1	9437669	9437778	-	9437778	chr1	9497837
AL928921.1	ENSG00000235263	1	9501092	9503471	-	9503471	chr1	9563530
SLC25A33	ENSG00000171612	1	9539482	9585179	+	9539482	chr1	9599541
AL954705.1	ENSG00000231181	1	9576427	9576985	+	9576427	chr1	9636485
TMEM201	ENSG00000188807	1	9588922	9614873	+	9588922	chr1	9648980
PIK3CD	ENSG00000171608	1	9651732	9729114	+	9651732	chr1	9711790
PIK3CD-AS1	ENSG00000179840	1	9652610	9654586	-	9654586	chr1	9714644
AL691449.1	ENSG00000233268	1	9660828	9662626	-	9662626	chr1	9722684
PIK3CD-AS2	ENSG00000231789	1	9672426	9687555	-	9687555	chr1	9747613
CLSTN1	ENSG00000171603	1	9729026	9824526	-	9824526	chr1	9884584
MZT1P1	ENSG00000271264	1	9780822	9781240	+	9780822	chr1	9840880
AL357140.3	ENSG00000280113	1	9826289	9828271	-	9828271	chr1	9888329
CTNNBIP1	ENSG00000178585	1	9848276	9910336	-	9910336	chr1	9970394
AL357140.1	ENSG00000223989	1	9848318	9850154	+	9848318	chr1	9908376
LZIC	ENSG00000162441	1	9922113	9943407	-	9943407	chr1	10003465
AL357140.2	ENSG00000228150	1	9942923	9949974	+	9942923	chr1	10002981
NMNAT1	ENSG00000173614	1	9943428	9985501	+	9943428	chr1	10003486
RN7SKP269	ENSG00000202415	1	9947318	9947636	+	9947318	chr1	10007376
AL357140.4	ENSG00000283611	1	9951231	9960832	-	9960832	chr1	10020890
MIR5697	ENSG00000265521	1	9967381	9967458	+	9967381	chr1	10027439
AL603962.1	ENSG00000241326	1	9983141	9984568	+	9983141	chr1	10043199
RBP7	ENSG00000162444	1	9997206	10016020	+	9997206	chr1	10057264
UBE4B	ENSG00000130939	1	10032832	10181239	+	10032832	chr1	10092890
AL590639.1	ENSG00000224340	1	10054445	10054781	-	10054781	chr1	10114839
PGAM1P11	ENSG00000233623	1	10058671	10059648	+	10058671	chr1	10118729
RNU6-828P	ENSG00000201746	1	10163268	10163374	+	10163268	chr1	10223326
KIF1B	ENSG00000054523	1	10210805	10381603	+	10210805	chr1	10270863
MIR1273D	ENSG00000264881	1	10227718	10227803	+	10227718	chr1	10287776
RNU6-37P	ENSG00000199562	1	10298966	10299072	+	10298966	chr1	10359024
RN7SL731P	ENSG00000264501	1	10306465	10306757	+	10306465	chr1	10366523
AL139424.3	ENSG00000284735	1	10381906	10387150	-	10387150	chr1	10447207
AL139424.2	ENSG00000284642	1	10395416	10397432	+	10395416	chr1	10455473
PGD	ENSG00000142657	1	10398592	10420144	+	10398592	chr1	10458649
AL139424.1	ENSG00000271989	1	10429881	10430677	-	10430677	chr1	10490734
CENPS-CORT	ENSG00000251503	1	10430102	10452153	+	10430102	chr1	10490159
CENPS	ENSG00000175279	1	10430443	10442809	+	10430443	chr1	10490500
CORT	ENSG00000241563	1	10449719	10451902	+	10449719	chr1	10509776
DFFA	ENSG00000160049	1	10456522	10472526	-	10472526	chr1	10532583
AL354956.1	ENSG00000203469	1	10458555	10459338	+	10458555	chr1	10518612
PEX14	ENSG00000142655	1	10472288	10630758	+	10472288	chr1	10532345
RN7SL614P	ENSG00000243267	1	10616836	10617115	+	10616836	chr1	10676893
