	mean gene expression	Enf prediction, Reference, fine-tuned
ENSG00000158828	6.383589	5.648203
ENSG00000244038	5.663766	4.959556
ENSG00000117245	4.621396	3.971782
ENSG00000189410	5.752927	4.153548
ENSG00000127483	7.203666	4.990991
ENSG00000075151	6.892222	6.616408
ENSG00000117298	5.681712	5.106821
ENSG00000142794	2.435465	2.801208
ENSG00000162551	4.402628	4.133886
ENSG00000076864	7.685973	5.984977
ENSG00000090686	5.541315	4.653277
ENSG00000142798	2.731243	4.403204
ENSG00000218510	2.898524	4.742950
ENSG00000070831	6.853707	3.903949
ENSG00000184677	4.511341	3.469697
ENSG00000173372	3.037600	4.398049
ENSG00000159189	3.400528	4.837694
ENSG00000173369	3.766885	4.374754
ENSG00000133216	3.800729	4.382284
ENSG00000004487	5.564271	5.101972
ENSG00000169641	6.125907	5.879508
ENSG00000261326	2.928758	3.354076
ENSG00000125944	6.396712	6.113974
ENSG00000125945	4.291864	5.208222
ENSG00000249087	3.253110	4.629461
ENSG00000204219	2.529643	2.735516
ENSG00000088280	4.635411	4.327972
ENSG00000117318	4.219322	4.923822
ENSG00000142676	7.334248	6.402409
ENSG00000011007	4.420239	5.231489
ENSG00000057757	6.946644	5.757205
ENSG00000011009	4.780659	3.963553
ENSG00000117308	4.077717	3.609601
ENSG00000117305	4.089821	3.576891
ENSG00000179163	3.290504	4.016812
ENSG00000189266	5.467175	5.826914
ENSG00000188529	5.542365	5.776860
ENSG00000001460	4.277041	4.598714
ENSG00000001461	6.539593	5.230963
ENSG00000117602	2.272781	3.163801
ENSG00000133226	6.074630	4.129915
ENSG00000169504	5.855078	4.771877
ENSG00000117614	4.726730	4.234718
ENSG00000117616	6.371805	4.340568
ENSG00000183726	5.916122	4.585562
ENSG00000204178	4.794417	4.810091
ENSG00000157978	3.333034	4.575273
ENSG00000117643	5.553620	5.173313
ENSG00000162430	5.949738	5.181245
ENSG00000117640	5.982697	4.911306
ENSG00000182749	3.340169	3.769085
ENSG00000117632	9.216156	6.408185
ENSG00000158006	2.690949	4.744603
ENSG00000158008	5.945297	4.969714
ENSG00000175087	3.606940	4.513222
ENSG00000142675	2.233917	3.765020
ENSG00000130695	3.730356	4.074736
ENSG00000142669	5.821493	6.315387
ENSG00000158062	4.858339	4.147591
ENSG00000117682	4.880356	5.052076
ENSG00000198830	5.847286	4.547103
ENSG00000117676	3.246515	4.055863
ENSG00000117713	5.816832	5.736727
ENSG00000060642	3.360050	6.054793
ENSG00000204160	4.791810	5.546167
ENSG00000142751	4.543644	4.411814
ENSG00000198746	3.501288	4.912838
ENSG00000090273	7.094812	4.405895
ENSG00000253368	5.263276	5.278771
ENSG00000090020	5.370366	4.307819
ENSG00000142784	6.355631	4.910620
ENSG00000186501	5.531966	5.478140
ENSG00000142733	4.004689	3.503889
ENSG00000181773	2.550892	4.767260
ENSG00000158195	5.571549	6.341637
ENSG00000126705	5.720720	5.414673
ENSG00000000938	2.945400	4.111497
ENSG00000126709	5.879927	4.972593
ENSG00000009780	3.507154	4.387656
ENSG00000117758	6.445634	6.779308
ENSG00000117751	4.835223	4.744692
ENSG00000130775	3.076184	4.176278
ENSG00000117748	5.113747	4.700106
ENSG00000158156	2.750828	4.911175
ENSG00000158161	4.348010	4.433072
ENSG00000126698	6.355759	5.421363
ENSG00000130770	6.607642	6.942243
ENSG00000130766	4.156606	4.523859
ENSG00000130772	2.678920	4.003367
ENSG00000204138	4.147863	4.587667
ENSG00000180198	2.710670	5.194531
ENSG00000180098	3.487351	4.607836
ENSG00000197989	2.405663	4.748338
ENSG00000120656	3.580320	4.734222
ENSG00000162419	2.999195	4.852524
ENSG00000198492	5.192558	5.320737
ENSG00000116329	3.601697	4.732968
ENSG00000159023	3.965023	4.853154
ENSG00000116350	6.128188	5.402014
ENSG00000116353	4.648127	4.489196
ENSG00000060656	5.060997	4.129375
ENSG00000162511	4.273557	4.887544
ENSG00000162512	7.886885	7.686176
ENSG00000134644	6.265545	5.105686
ENSG00000084628	3.289837	4.808496
ENSG00000060688	3.760689	5.452640
ENSG00000121766	5.758447	5.770539
ENSG00000121769	5.702633	5.591833
ENSG00000142910	3.967671	4.151203
ENSG00000162517	5.954603	4.741987
ENSG00000084636	6.142476	4.497154
ENSG00000121753	8.046035	6.090976
ENSG00000184007	7.440166	5.428586
ENSG00000121774	6.166268	6.317164
ENSG00000121775	3.622797	5.767624
ENSG00000025800	5.883152	5.563189
ENSG00000084652	5.328956	5.157054
ENSG00000160050	2.982276	3.838835
ENSG00000160051	2.330864	3.124984
ENSG00000160055	3.063376	4.439153
ENSG00000084623	6.295990	4.977077
ENSG00000220785	2.649852	4.320956
ENSG00000116478	4.223299	4.242978
ENSG00000175130	7.440849	6.037257
ENSG00000160058	6.541421	4.321040
ENSG00000273274	2.084362	3.656476
ENSG00000160062	2.644827	4.019123
ENSG00000176261	3.872072	5.728494
ENSG00000162521	6.456866	6.004557
ENSG00000162522	5.741115	3.243616
ENSG00000134684	6.678097	6.404256
ENSG00000116497	4.164201	5.053208
ENSG00000160097	5.038801	5.130131
ENSG00000121905	6.935932	5.403162
ENSG00000121900	4.555686	3.553019
ENSG00000116514	4.165591	5.025685
ENSG00000004455	4.988108	4.564679
ENSG00000142920	5.007862	4.603812
ENSG00000116525	3.269904	4.746359
ENSG00000160094	5.093653	4.966772
ENSG00000134686	6.225290	4.818883
ENSG00000121904	4.125281	5.117396
ENSG00000163866	4.981768	5.062203
ENSG00000187513	2.445387	4.044564
ENSG00000116544	6.308592	5.544769
ENSG00000163867	4.421685	3.493715
ENSG00000116560	7.484175	6.529263
ENSG00000146463	5.562123	4.801042
ENSG00000142687	6.427726	9.533635
ENSG00000020129	9.457899	5.783681
ENSG00000116819	3.016602	2.275883
ENSG00000126067	5.966116	5.662986
ENSG00000142686	6.879677	5.818761
ENSG00000134698	4.726448	4.659566
ENSG00000092847	5.626829	4.589338
ENSG00000126070	4.561095	4.280593
ENSG00000116863	4.327089	4.655816
ENSG00000054116	5.141652	8.183998
ENSG00000116871	7.625378	6.220780
ENSG00000054118	6.236581	5.650444
ENSG00000214193	2.926231	3.424955
ENSG00000196182	5.243908	4.911061
ENSG00000181817	4.474351	4.908506
ENSG00000116885	3.633562	3.273828
ENSG00000116898	5.073429	5.417588
ENSG00000119535	2.711951	4.038957
ENSG00000163873	5.008729	4.525728
ENSG00000163875	6.133252	5.697884
ENSG00000163877	3.473649	4.230582
ENSG00000163879	3.965717	4.106358
ENSG00000134697	4.351620	4.084939
ENSG00000116922	3.641360	3.049267
ENSG00000183317	4.593738	4.615098
ENSG00000185090	3.518842	4.659780
ENSG00000196449	3.258736	5.457070
ENSG00000197982	5.869319	5.185021
ENSG00000188786	3.854835	3.937181
ENSG00000204084	4.064963	4.803852
ENSG00000183431	5.319852	4.267445
ENSG00000183386	3.209096	4.781836
ENSG00000183520	4.216642	5.257438
ENSG00000116954	4.632887	5.231305
ENSG00000174574	5.888453	6.041212
ENSG00000168653	7.185366	6.172143
ENSG00000127603	8.418169	6.184218
ENSG00000090621	5.394994	4.952034
ENSG00000163909	2.600967	3.250838
ENSG00000116983	8.068383	6.866171
ENSG00000084072	4.623288	4.995867
ENSG00000116985	2.465408	3.284121
ENSG00000043514	3.571981	4.496762
ENSG00000168389	4.380830	4.460053
ENSG00000131236	6.962384	4.475675
ENSG00000131238	7.069116	4.715733
ENSG00000117000	4.567346	4.690915
ENSG00000259943	3.479603	4.474678
ENSG00000084073	4.922308	4.295272
ENSG00000049089	5.411051	4.767486
ENSG00000084070	6.838703	3.496974
ENSG00000260920	2.603549	4.069004
ENSG00000187815	2.177902	2.969476
ENSG00000117016	8.561948	5.958791
ENSG00000066136	5.185995	5.942634
ENSG00000117013	3.737639	4.700116
ENSG00000179862	2.745900	3.778179
ENSG00000171793	4.076882	4.711537
ENSG00000010803	4.820410	4.358462
ENSG00000127124	4.308744	4.060101
ENSG00000198815	5.882507	4.813811
ENSG00000177181	5.568383	5.095031
ENSG00000066185	2.090762	4.115656
ENSG00000127125	4.420362	4.249399
ENSG00000186409	2.685098	3.710024
ENSG00000171960	3.314482	3.379473
ENSG00000065978	6.373320	5.160486
ENSG00000117385	3.413594	4.729664
ENSG00000164008	3.074786	4.514120
ENSG00000177868	3.236655	3.725664
ENSG00000164010	2.911972	3.865064
ENSG00000164011	2.556326	3.029678
ENSG00000117394	6.505801	6.528118
ENSG00000117395	5.383244	3.474914
ENSG00000179178	2.654366	4.416261
ENSG00000066056	4.120806	4.500468
ENSG00000066322	4.624945	4.906496
ENSG00000159479	4.534688	4.576709
ENSG00000198198	5.183637	4.669075
ENSG00000142949	7.014169	4.786492
ENSG00000066135	4.506578	4.745810
ENSG00000126091	5.247183	4.620019
ENSG00000117408	6.326195	6.036469
ENSG00000132768	4.058663	3.534482
ENSG00000117410	6.715688	5.027993
ENSG00000117411	6.220497	4.529838
ENSG00000159214	4.150441	3.814965
ENSG00000196517	3.528683	4.415393
ENSG00000178028	5.668012	3.967578
ENSG00000117419	6.431194	5.407301
ENSG00000187147	6.878209	5.591105
ENSG00000126106	3.179696	3.757828
ENSG00000198520	2.240197	3.819366
ENSG00000142937	7.940314	5.259821
ENSG00000173846	2.861153	4.115904
ENSG00000117425	4.035435	3.841271
ENSG00000070785	4.110308	3.908366
ENSG00000126107	5.188159	4.510265
ENSG00000126088	5.805172	4.697478
ENSG00000162415	3.277474	4.711246
ENSG00000132781	2.982241	4.977208
ENSG00000132773	2.655622	3.261207
ENSG00000070759	2.766307	4.324640
ENSG00000280670	2.542917	3.731323
ENSG00000132763	3.062390	4.361804
ENSG00000117450	6.965269	4.032777
ENSG00000117448	4.993687	4.980651
ENSG00000132780	5.937723	4.395562
ENSG00000159592	5.672476	4.732198
ENSG00000159596	3.843536	4.913024
ENSG00000197429	2.640431	3.912325
ENSG00000086015	5.752547	4.437856
ENSG00000117461	5.257162	5.280327
ENSG00000085998	6.146573	4.691798
ENSG00000132128	5.756029	7.034860
ENSG00000173660	7.022012	7.092100
ENSG00000117481	3.854673	4.816007
ENSG00000117480	4.861804	4.050772
ENSG00000079277	4.772029	3.636192
ENSG00000142961	3.495387	3.801410
ENSG00000123472	7.096080	3.600252
ENSG00000159658	6.422922	5.152174
ENSG00000186377	4.043435	5.715276
ENSG00000162367	2.162749	3.606440
ENSG00000162368	6.421290	5.836739
ENSG00000132122	3.380733	3.568559
ENSG00000186094	3.100805	5.066398
ENSG00000162373	4.271063	4.296985
ENSG00000162374	6.390183	4.689410
ENSG00000185104	5.328099	4.227890
ENSG00000123080	3.178855	5.207442
ENSG00000123091	7.970835	7.632945
ENSG00000085831	2.496250	3.938050
ENSG00000085832	7.356837	4.415564
ENSG00000117859	4.957495	4.454397
ENSG00000078618	6.629671	5.623385
ENSG00000169213	3.986310	5.519998
ENSG00000117862	5.058645	4.453695
ENSG00000198841	2.384572	3.809600
ENSG00000134717	5.418266	5.181943
ENSG00000157077	5.674975	5.736074
ENSG00000154222	4.749562	4.493083
ENSG00000134748	5.208015	3.689448
ENSG00000134744	4.563383	4.094090
ENSG00000162377	4.457799	4.491202
ENSG00000162378	6.030029	5.375668
ENSG00000121310	4.438903	4.666064
ENSG00000116171	5.892540	4.309928
ENSG00000174348	2.474702	2.933042
ENSG00000157184	2.576295	3.953468
ENSG00000162384	4.891686	4.769738
ENSG00000162385	3.537166	4.432185
ENSG00000157193	5.212226	5.771245
ENSG00000058804	3.358439	3.990197
ENSG00000058799	4.268208	4.325138
ENSG00000081870	3.578674	3.801818
ENSG00000116212	3.195196	4.064550
ENSG00000116209	7.060951	5.301562
ENSG00000116205	3.668318	5.349771
ENSG00000215883	2.857552	4.058630
ENSG00000116221	5.178250	3.948836
ENSG00000157216	7.497713	4.337516
ENSG00000162390	2.637187	3.285889
ENSG00000184313	4.057550	3.602373
ENSG00000243725	4.773648	4.067328
ENSG00000116133	7.264145	5.934989
ENSG00000162402	5.811765	4.959046
ENSG00000162407	6.851323	4.256923
ENSG00000162409	4.189307	4.415012
ENSG00000173406	3.854322	3.819634
ENSG00000162600	2.591635	4.062821
ENSG00000162601	4.988414	4.655515
ENSG00000177606	6.704318	5.188707
ENSG00000172456	2.610107	3.986178
ENSG00000134709	4.128706	3.314403
ENSG00000134716	3.727672	4.647925
ENSG00000162599	5.475124	3.716989
ENSG00000162604	4.398876	5.129434
ENSG00000132849	3.179649	4.245054
ENSG00000162607	4.421682	4.736372
ENSG00000116641	5.004742	5.177446
ENSG00000125703	3.938453	4.618523
ENSG00000088035	2.699721	3.461944
ENSG00000142856	2.623710	3.876466
ENSG00000203965	3.642232	3.584114
ENSG00000079739	5.643416	4.527515
ENSG00000158966	4.580564	4.311495
ENSG00000162437	4.356848	4.336257
ENSG00000162434	6.478945	5.077206
ENSG00000162433	5.876791	5.444421
ENSG00000116675	7.550247	5.251389
ENSG00000213625	5.176403	4.072313
ENSG00000116678	3.044312	4.400198
ENSG00000184588	5.865648	3.360062
ENSG00000118473	5.827000	3.937731
ENSG00000152760	2.261497	2.482394
ENSG00000198160	4.529029	3.957733
ENSG00000116704	3.438382	3.422052
ENSG00000142864	6.495444	5.708221
ENSG00000116717	4.515032	5.420277
ENSG00000172380	4.278125	4.392140
ENSG00000162595	2.394785	3.355552
ENSG00000116729	5.981435	4.253409
ENSG00000033122	5.299581	5.324403
ENSG00000066557	4.118385	4.388692
ENSG00000116754	7.013157	4.388880
ENSG00000118454	4.632182	5.098568
ENSG00000197568	3.445145	5.271038
ENSG00000116761	2.574478	3.530697
ENSG00000132485	6.460029	4.587455
ENSG00000172260	6.753326	5.553116
ENSG00000254685	2.526810	3.074460
ENSG00000116783	2.929929	3.259226
ENSG00000178965	5.347140	5.296469
ENSG00000116791	3.985160	3.443738
ENSG00000162623	4.296553	2.669433
ENSG00000137968	3.009592	4.383182
ENSG00000117054	5.454882	4.503960
ENSG00000137955	5.145006	5.015191
ENSG00000184005	2.976678	4.187622
ENSG00000117069	4.705079	5.981888
ENSG00000142892	4.573296	3.307354
ENSG00000154027	7.931430	7.512159
ENSG00000036549	4.436987	4.627156
ENSG00000077254	6.343748	5.504267
ENSG00000180488	5.197716	5.513045
ENSG00000162613	5.436637	6.789940
ENSG00000162616	4.751808	6.521984
ENSG00000137959	3.394910	4.092645
ENSG00000137965	3.138224	2.384028
ENSG00000162618	2.934182	4.347184
ENSG00000117114	5.237139	3.593705
ENSG00000137941	6.458881	6.203692
ENSG00000142875	8.091585	4.148555
ENSG00000117133	3.859703	4.389546
ENSG00000174021	4.029112	3.482959
ENSG00000117151	2.245816	3.408408
ENSG00000117155	6.212310	5.691587
ENSG00000171517	2.597338	2.780871
ENSG00000162642	5.030996	5.305112
ENSG00000142867	2.511218	4.300154
ENSG00000153904	7.741040	5.162239
ENSG00000142871	4.235873	3.519451
ENSG00000117174	4.451581	4.745783
ENSG00000171502	3.673328	3.788124
ENSG00000122417	4.473281	3.921634
ENSG00000097033	5.633998	5.785138
ENSG00000183291	5.953942	5.488832
ENSG00000153936	5.284487	4.778158
ENSG00000267272	2.919832	4.353604
ENSG00000143013	8.270525	7.287201
ENSG00000065243	4.313645	4.498569
ENSG00000137947	4.032409	4.654498
ENSG00000137944	4.103977	4.429172
ENSG00000213516	4.205287	4.189573
ENSG00000117226	2.024922	3.078918
ENSG00000117228	2.641104	2.460855
ENSG00000162645	2.684384	3.494191
ENSG00000162654	3.061890	2.453187
ENSG00000197147	6.086927	5.680751
ENSG00000171488	4.006270	4.448365
ENSG00000171492	4.821281	4.768567
ENSG00000162664	5.047937	4.701983
ENSG00000233593	3.646613	3.458786
ENSG00000122482	4.458045	4.749756
ENSG00000097046	3.563963	3.346673
ENSG00000069702	3.691523	4.877653
ENSG00000172031	3.713591	5.604367
ENSG00000273487	2.562959	4.250792
ENSG00000174842	3.404962	3.833319
ENSG00000122484	4.541366	3.782051
ENSG00000067208	4.214476	5.110793
ENSG00000122406	7.841720	6.842153
ENSG00000154511	5.113869	5.931241
ENSG00000143033	4.064992	5.166965
ENSG00000117500	4.765121	3.881229
ENSG00000223745	2.974211	5.309762
ENSG00000117505	5.053873	5.109785
ENSG00000137942	4.616903	4.829237
ENSG00000137936	3.757704	4.033473
ENSG00000067334	5.061007	4.668122
ENSG00000023909	4.207568	5.422704
ENSG00000137962	4.549617	4.605242
ENSG00000117528	4.977204	3.955461
ENSG00000117525	6.035623	4.731528
ENSG00000143036	2.774323	3.351930
ENSG00000117519	6.913803	6.761242
ENSG00000235501	2.741779	6.052848
ENSG00000172339	3.067831	4.049807
ENSG00000152078	5.108983	5.158400
ENSG00000122481	3.597740	3.458758
ENSG00000228971	3.075231	5.214156
ENSG00000117569	5.185963	4.650230
ENSG00000188641	2.526366	4.399218
ENSG00000225206	2.021787	5.429900
ENSG00000162627	3.032488	3.975322
ENSG00000117598	3.982514	5.119983
ENSG00000117600	5.692873	5.346739
ENSG00000099260	2.756251	4.102760
ENSG00000162688	4.533945	3.241424
ENSG00000117620	3.788078	4.918986
ENSG00000156875	4.906811	5.554991
ENSG00000122435	2.736527	2.813875
ENSG00000122477	2.128256	3.884421
ENSG00000137992	4.693930	3.577947
ENSG00000137996	4.897314	4.642850
ENSG00000079335	2.488722	4.439908
ENSG00000181656	2.659569	5.678778
ENSG00000162694	5.190221	4.241114
ENSG00000162695	3.353664	3.566421
ENSG00000117543	3.244138	3.826709
ENSG00000233184	2.006659	3.310200
ENSG00000170989	5.718025	5.213270
ENSG00000118733	4.928775	4.947287
ENSG00000060718	4.389298	3.054983
ENSG00000185946	4.041711	4.159437
ENSG00000240038	4.704845	3.714067
ENSG00000198890	3.491436	3.322054
ENSG00000162631	4.149694	3.678789
ENSG00000134215	2.831462	3.479607
ENSG00000085491	2.318892	4.588306
ENSG00000162636	5.209003	5.409625
ENSG00000162639	3.621204	3.659446
ENSG00000134186	5.277806	4.855006
ENSG00000116266	5.002982	4.642921
ENSG00000121957	4.305545	5.424465
ENSG00000121940	3.810637	4.834663
ENSG00000085433	6.639462	6.182151
ENSG00000197780	5.061729	6.097842
ENSG00000215717	5.503020	4.872140
ENSG00000116299	3.135476	4.335891
ENSG00000031698	7.239459	6.854812
ENSG00000143126	7.618809	6.270038
ENSG00000134222	5.284937	4.943661
ENSG00000134243	8.087430	6.211390
ENSG00000143106	5.399061	4.665670
ENSG00000162650	3.754117	5.658168
ENSG00000174151	4.254541	4.496382
ENSG00000181754	5.939515	5.688152
ENSG00000156097	3.031798	5.480550
ENSG00000065135	4.976292	4.897584
ENSG00000116337	6.562604	5.037623
ENSG00000168765	4.893022	4.952380
ENSG00000213366	3.851447	4.252551
ENSG00000134184	2.376947	3.594641
ENSG00000134201	5.071684	3.202821
ENSG00000134202	6.388779	5.411078
ENSG00000184371	4.030821	4.763575
ENSG00000168710	8.583702	7.365502
ENSG00000143093	5.343602	4.178127
ENSG00000258634	2.734836	4.127354
ENSG00000197106	7.624150	6.128793
ENSG00000116396	5.687353	5.489465
ENSG00000162775	2.082889	4.294512
ENSG00000273373	2.724865	4.067350
ENSG00000134248	5.116846	4.432430
ENSG00000177301	7.033102	4.275375
ENSG00000259834	3.475749	4.136719
ENSG00000143119	3.478617	3.717291
ENSG00000121931	3.569783	2.770505
ENSG00000156171	3.732482	4.158136
ENSG00000134255	3.532945	3.534693
ENSG00000173947	2.412125	3.150973
ENSG00000085465	3.181641	3.271900
ENSG00000116455	3.482972	5.413044
ENSG00000116459	6.632584	4.475645
ENSG00000143110	2.504423	3.919962
ENSG00000121933	2.077040	4.881838
ENSG00000116473	5.565500	4.135471
ENSG00000197852	5.524906	4.234295
ENSG00000064703	3.227365	5.574303
ENSG00000171385	6.269709	5.697624
ENSG00000231437	2.839329	6.188798
ENSG00000143079	4.162564	4.818862
ENSG00000134245	3.187479	4.145481
ENSG00000007341	2.643046	5.066070
ENSG00000116489	5.699447	4.837147
ENSG00000155363	4.178077	4.064609
ENSG00000155366	5.871232	3.857766
ENSG00000155367	3.269044	4.099582
ENSG00000155380	5.088915	5.344388
ENSG00000198799	4.048610	4.529899
ENSG00000081026	4.858257	4.096588
ENSG00000116793	4.506212	4.614085
ENSG00000081019	4.229637	4.365465
ENSG00000134262	4.198461	3.894807
ENSG00000118655	2.333899	3.948714
ENSG00000163349	6.055802	4.885592
ENSG00000134207	2.081720	4.332227
ENSG00000197323	5.392217	4.745752
ENSG00000116752	5.342084	4.713005
ENSG00000213281	4.614006	3.998439
ENSG00000009307	8.216825	4.556692
ENSG00000052723	4.314397	3.836586
ENSG00000163393	3.743927	4.686787
ENSG00000163399	9.160759	6.317226
ENSG00000143061	3.914053	4.272194
ENSG00000134247	4.641528	3.691512
ENSG00000116830	2.632948	2.647956
ENSG00000134253	2.960288	5.030826
ENSG00000198162	5.601709	4.933737
ENSG00000196505	2.717357	3.213170
ENSG00000065183	3.718715	3.153397
ENSG00000116874	2.648356	3.128402
ENSG00000260941	2.126970	3.825800
ENSG00000143067	2.812725	4.483814
