tracks,weights
DNASE:foreskin fibroblast male newborn,0
DNASE:renal cortex interstitium male embryo (91 day),0
DNASE:ACHN,0
DNASE:kidney tubule cell female adult (80 years) treated with 5 uM cisplatin,-0.019483
DNASE:left renal pelvis male embryo (105 days),0
DNASE:iPS DF 6.9 male newborn,0
DNASE:kidney male embryo (87 days),0
DNASE:right lung female embryo (91 day),0
DNASE:NCI-H226,0
DNASE:right renal cortex interstitium male embryo (105 days),0
DNASE:G401,0
DNASE:muscle of arm male embryo (113 days),0
DNASE:common myeloid progenitor; CD34-positive male adult,0
DNASE:muscle of leg female embryo (113 days),0
DNASE:arm bone male embryo (81 day),0
DNASE:H9,0
DNASE:testis male embryo,0
DNASE:neural stem progenitor cell originated from H1-hESC,0
DNASE:right atrium auricular region female adult (51 year),0
DNASE:common myeloid progenitor; CD34-positive male adult (49 years),0
DNASE:stomach female embryo (121 day),0
DNASE:muscle of leg female embryo (105 days),0
DNASE:muscle of leg male embryo (97 days),0
DNASE:left kidney female embryo (87 days),0
DNASE:muscle of back male embryo (97 days),0
DNASE:muscle of leg male embryo (96 days),0
DNASE:right lung female embryo (105 days),0
DNASE:NAMALWA treated with Sendai virus for 2 hours,0
DNASE:renal pelvis male embryo (127 days),0
DNASE:muscle of arm male embryo (96 days),0
DNASE:heart male child (3 years),0
DNASE:brain female embryo (117 days),0
DNASE:muscle of arm female embryo (85 days),0
DNASE:heart male embryo (110 days),0
DNASE:L1-S8,0
DNASE:CD8-positive; alpha-beta T cell male adult (37 years),0
DNASE:muscle of back male embryo (91 day),0
DNASE:left renal pelvis male embryo (105 days),0
DNASE:middle frontal gyrus male adult (78 years),0
DNASE:lung male embryo (103 days),0
DNASE:heart male embryo (105 days),0
DNASE:left renal pelvis male embryo (120 days),0
DNASE:common myeloid progenitor; CD34-positive female adult (50 years),0
DNASE:Peyer's patch female adult (53 years),0
DNASE:skin fibroblast male embryo (97 days),0
DNASE:hematopoietic multipotent progenitor cell,0
DNASE:right kidney male embryo (87 days),0
DNASE:tibial artery male adult (37 years),0
DNASE:renal cell carcinoma,0
DNASE:thymus female embryo (113 days),0
DNASE:brain female embryo (109 days),0
DNASE:Daoy,0
DNASE:A673,0
DNASE:muscle of arm male embryo (101 day),0
DNASE:muscle of arm female embryo (120 days),0
DNASE:muscle of back male embryo (105 days),0
DNASE:skin fibroblast male embryo (97 days),0
DNASE:ecto neural progenitor cell originated from H9,0
DNASE:hematopoietic multipotent progenitor cell treated with interleukin-3 for 17 days; kit ligand for 17 days; hydrocortisone succinate for 17 days; erythropoietin for 17 days,0.006519
DNASE:hepatocyte originated from H9,0
DNASE:renal pelvis male embryo (97 days),0
DNASE:heart embryo (101 day),0
DNASE:large intestine male embryo (115 days),0
DNASE:T-cell male adult (37 years),0
DNASE:skin fibroblast male embryo (97 days),0
DNASE:CD1c-positive myeloid dendritic cell,0
DNASE:B cell male adult (21 year),0
DNASE:superior temporal gyrus male adult (84 years),0
DNASE:skin fibroblast male embryo (97 days),0
DNASE:iPS DF 19.11 male newborn,0
DNASE:hindlimb muscle male embryo (120 days),0
DNASE:MCF 10A treated with 1 uM tamoxifen for 6 hours,0
DNASE:sigmoid colon male adult (54 years),0
DNASE:heart male embryo (120 days),0
DNASE:tibial nerve female adult (51 year),0
DNASE:adipocyte,0
DNASE:muscle of trunk female embryo (121 day),0
DNASE:left cardiac atrium female embryo (101 day),0
DNASE:T-cell male adult (21 year),0
DNASE:right kidney male embryo (108 days),0
DNASE:adrenal gland female embryo (108 days),0
DNASE:hematopoietic multipotent progenitor cell treated with interleukin-3 for 11 day; kit ligand for 11 day; hydrocortisone succinate for 11 day; erythropoietin for 11 day,0
DNASE:brain male embryo (105 days),0
DNASE:body of pancreas female adult (53 years),0
DNASE:left kidney female embryo (147 days),0
DNASE:CD4-positive; alpha-beta T cell male adult (37 years),0
DNASE:KBM-7,0
DNASE:psoas muscle male child (3 years),0
DNASE:ovary female embryo,0
DNASE:RKO,0
DNASE:leg bone male embryo (81 day),0
DNASE:glomerular visceral epithelial cell child (3 years),0
DNASE:foreskin melanocyte male newborn,0
DNASE:embryonic facial prominence embryo (53 days) and embryo (58 days),0
DNASE:vagina female adult (53 years),0
DNASE:kidney female embryo (85 days),0
DNASE:muscle of back male embryo (96 days),0
DNASE:muscle of trunk female embryo (113 days),0
DNASE:iPS DF 19.7 male newborn,0
DNASE:right lung female embryo (110 days),0
DNASE:left lung male embryo (87 days),0
DNASE:large intestine female embryo (105 days),0
DNASE:right lung female embryo (98 days),0
DNASE:leg bone male embryo (81 day),0
DNASE:CD14-positive monocyte male adult (21 year),0
DNASE:muscle of arm male embryo (120 days),0
DNASE:Peyer's patch male adult (37 years),0.005011
DNASE:common myeloid progenitor; CD34-positive male adult (36 years),0
DNASE:left lung female embryo (108 days),0
DNASE:small intestine female embryo (91 day),0
DNASE:MM.1S,0
DNASE:sigmoid colon female adult (51 year),0
DNASE:left lung female embryo (105 days),0
DNASE:common myeloid progenitor; CD34-positive female adult (33 years),0
DNASE:retina embryo (125 days) and male embryo (103 days),0
DNASE:brain male embryo (72 days) and male embryo (76 days),0
DNASE:muscle of back male embryo (108 days),0
DNASE:IMR-90,0
DNASE:lung female embryo (108 days),0
DNASE:left lung male embryo (113 days),0
DNASE:OCI-LY7,0
DNASE:upper lobe of left lung female adult (51 year),0
DNASE:hematopoietic multipotent progenitor cell treated with interleukin-3 for 18 days; kit ligand for 18 days; hydrocortisone succinate for 18 days; erythropoietin for 18 days,0
DNASE:putamen male adult (78 years),0
DNASE:common myeloid progenitor; CD34-positive male adult (42 years),0
DNASE:placenta embryo (53 days),0
DNASE:kidney male embryo (105 days),0
DNASE:heart left ventricle female embryo (136 days),0
DNASE:small intestine female embryo (108 days),0
DNASE:LoVo,0
DNASE:cerebellar cortex male adult (78 years) and male adult (84 years),0
DNASE:lung embryo (67 days),0
DNASE:transverse colon female adult (53 years),0
DNASE:brain embryo (80 days),0
DNASE:stomach female embryo (108 days),0
DNASE:umbilical cord embryo (59 days) and male embryo (76 days),0
DNASE:muscle of leg male embryo (105 days),0
DNASE:Caki2,0
DNASE:muscle of arm female embryo (105 days),0
DNASE:foreskin melanocyte male newborn,0
DNASE:stomach male embryo (108 days),0
DNASE:body of pancreas male adult (37 years),0
DNASE:renal cortex interstitium female embryo (120 days),0
DNASE:body of pancreas female adult (51 year),0
DNASE:large intestine male embryo (105 days),0
DNASE:limb embryo (58 days) and embryo (59 days),0
DNASE:heart female embryo (147 days),0.006235
DNASE:heart male embryo (96 days),0.019576
DNASE:right renal pelvis male embryo (120 days),0
DNASE:left lung female embryo (117 days),0
DNASE:thymus female embryo (98 days),0
DNASE:ovary female adult (53 years),0
DNASE:left kidney male embryo (115 days),0
DNASE:thymus male embryo (113 days),0
DNASE:placenta female embryo (105 days),0
DNASE:EH,0
DNASE:renal cortex interstitium male embryo (97 days),0
DNASE:placenta embryo (102 days),0
DNASE:placenta embryo (56 days) and embryo (59 days),0
DNASE:renal pelvis female embryo (103 days),0
DNASE:right lobe of liver female adult (53 years),0
DNASE:skin fibroblast male embryo (97 days),0
DNASE:tongue male embryo (72 days),0
DNASE:skin fibroblast male embryo (97 days),0
DNASE:liver female embryo (101 day) and female embryo (113 days),0
DNASE:large intestine female embryo (107 days),0
DNASE:hematopoietic multipotent progenitor cell treated with interleukin-3 for 6 days; kit ligand for 6 days; hydrocortisone succinate for 6 days; erythropoietin for 6 days,0
DNASE:common myeloid progenitor; CD34-positive male,0
DNASE:small intestine female embryo (98 days),0
DNASE:CD4-positive; alpha-beta T cell male adult (21 year),0
DNASE:brain male embryo (101 day),0
DNASE:placenta female embryo (101 day) and male embryo (105 days),0
DNASE:renal pelvis male embryo (91 day),0
DNASE:lung embryo (80 days) and male embryo (76 days),0
DNASE:Ammon's horn male adult (84 years),0
DNASE:muscle of back female embryo (105 days),0
DNASE:lung male embryo (82 days),0
DNASE:left renal cortex interstitium male embryo (105 days),0
DNASE:trophoblast cell embryo (17 weeks) and embryo (18 weeks),0
DNASE:RPMI8226,0
DNASE:small intestine male embryo (91 day),0
DNASE:brain embryo (56 days) and male embryo (58 days),0
DNASE:pancreas female adult (30 years),0
DNASE:adrenal gland female adult (53 years),0
DNASE:breast epithelium female adult (51 year),0
DNASE:left kidney male embryo (87 days),0
DNASE:renal pelvis female embryo (96 days),0
DNASE:stomach male embryo (127 days),0
DNASE:CD8-positive; alpha-beta T cell female adult (34 years),0
DNASE:spinal cord female embryo (89 days),0
DNASE:muscle of arm male embryo (97 days),0
DNASE:renal pelvis female embryo (105 days),0
DNASE:HAP-1,0
DNASE:SJSA1,0
DNASE:retina embryo (74 days) and embryo (85 days),0
DNASE:muscle of leg male embryo (127 days),0
DNASE:fibroblast of skin of abdomen male embryo (97 days),0
DNASE:bipolar neuron originated from GM23338 treated with 0.5 ug/mL doxycycline hyclate for 4 days,0
DNASE:stomach female embryo (147 days),0
DNASE:lung male embryo (54 days) and male embryo (58 days),0
DNASE:T-cell male adult (36 years),0.012
DNASE:T-cell male adult (21 year),0
DNASE:HK-2,0
DNASE:NCI-H460,0
DNASE:left lung male embryo (96 days),0
DNASE:common myeloid progenitor; CD34-positive male adult (23 years),0
DNASE:stomach female adult (51 year),0
DNASE:CD4-positive; alpha-beta T cell female adult (33 years),0
DNASE:kidney female embryo (113 days),0
DNASE:skin fibroblast male embryo (97 days),0
DNASE:placenta female embryo (85 days),0
DNASE:brain male embryo (122 days),-0.017947
DNASE:muscle of arm male embryo (97 days),0
DNASE:renal cortex interstitium female embryo (103 days),0
DNASE:thyroid gland female adult (51 year),0
DNASE:NAMALWA,0
DNASE:heart embryo (59 days) and female embryo (76 days),0
DNASE:large intestine male embryo (105 days),0
DNASE:skin fibroblast male embryo (97 days),0
DNASE:right kidney male embryo (96 days),0
DNASE:CD14-positive monocyte male adult (37 years),-0.000389
DNASE:ELF-1,0
DNASE:spinal cord female embryo (113 days),0
DNASE:spleen embryo (112 days),0
DNASE:left lung female embryo (107 days),0
DNASE:thymus female embryo,0
DNASE:CD4-positive; alpha-beta T cell male adult (21 year),0
DNASE:stomach female embryo (96 days),0
DNASE:EL,0
DNASE:CD14-positive monocyte female adult (34 years),0
DNASE:thyroid gland female adult (53 years),0
DNASE:adrenal gland female embryo (113 days),0
DNASE:muscle of back male embryo (96 days),0
DNASE:SJCRH30,0
DNASE:natural killer cell male adult (21 year),0
DNASE:heart male embryo (72 days) and male embryo (76 days),0
DNASE:midbrain male adult (78 years) and male adult (84 years),0
DNASE:ovary female adult (30 years),0
DNASE:mesendoderm originated from H1-hESC,0
DNASE:natural killer cell male adult (37 years),0
DNASE:natural killer cell female adult (34 years),0
DNASE:foreskin keratinocyte male newborn,0
DNASE:stomach female embryo,0
DNASE:adrenal gland male embryo (108 days),0
DNASE:testis male embryo,0
DNASE:mesenchymal stem cell originated from H1-hESC,0
DNASE:vagina female adult (51 year),0
DNASE:common myeloid progenitor; CD34-positive male adult (43 years),0
DNASE:heart right ventricle female embryo (101 day) and female embryo (103 days),0
DNASE:L1-S8R,0
DNASE:heart female embryo (116 days) and female embryo (98 days),0
DNASE:MCF 10A treated with 1 uM tamoxifen for 24 hours,0
DNASE:right renal pelvis male embryo (105 days),0
DNASE:muscle of arm female embryo (98 days),0
DNASE:H9 G1 phase genetically modified using stable transfection,0
DNASE:tibial nerve male adult (37 years),0
DNASE:kidney male embryo (85 days),0
DNASE:tongue female embryo (59 days) and female embryo (76 days),0
DNASE:transverse colon female adult (51 year),0
DNASE:right renal pelvis male embryo (105 days),0
DNASE:large intestine male embryo (91 day),0
DNASE:right kidney female embryo (117 days),0
DNASE:right kidney male embryo (91 day),0
DNASE:skin fibroblast male embryo (97 days),0
DNASE:globus pallidus male adult (78 years) and male adult (84 years),0
DNASE:kidney female embryo (105 days),0
DNASE:right atrium auricular region female adult (53 years),0
DNASE:thymus female embryo (147 days),0
DNASE:stomach male adult (34 years),0
DNASE:eye embryo (56 days) and male embryo (76 days),0
DNASE:esophagus squamous epithelium male adult (37 years),0
DNASE:glomerular visceral epithelial cell child (3 years),0
DNASE:muscle of back male embryo (127 days),0
DNASE:spinal cord male embryo (96 days),0
DNASE:MCF 10A,0
DNASE:transverse colon male adult (54 years),0
DNASE:kidney embryo (59 days) and female embryo (59 days),0
DNASE:H1-hESC,0
DNASE:large intestine female embryo (98 days),0
DNASE:large intestine female embryo (103 days),0
DNASE:placenta male embryo (85 days),0
DNASE:left lung female embryo (91 day),0
DNASE:heart embryo (80 days),0
DNASE:femur female embryo (98 days),0
DNASE:H4,0
DNASE:trophoblast cell embryo (23 weeks),0
DNASE:urinary bladder male embryo (76 days),0
DNASE:HT-29,0
DNASE:limb embryo (53 days) and embryo (56 days),0
DNASE:retina female embryo (89 days),0
DNASE:dedifferentiated amniotic fluid mesenchymal stem cell,0
DNASE:upper lobe of left lung female adult (53 years),0
DNASE:brain female embryo (105 days),0
DNASE:muscle of arm embryo (101 day),0
DNASE:renal cortex interstitium male embryo (108 days),0
DNASE:pons male adult (78 years),0
DNASE:thymus female embryo (105 days),0
DNASE:CD8-positive; alpha-beta T cell female adult (33 years),0
DNASE:cardiac muscle cell,0
DNASE:CD8-positive; alpha-beta T cell male adult (21 year),0
DNASE:hematopoietic multipotent progenitor cell treated with interleukin-3 for 8 days; kit ligand for 8 days; hydrocortisone succinate for 8 days; erythropoietin for 8 days,0
DNASE:right lung female embryo (117 days),0
DNASE:right lung male embryo (105 days),0
DNASE:lung female embryo (96 days),0
DNASE:adrenal gland male adult (54 years),0
DNASE:renal cortex interstitium male embryo (127 days),0
DNASE:spleen male adult (54 years),0
DNASE:renal cortex interstitium female embryo (89 days),0
DNASE:ascending aorta female adult (51 year),0
DNASE:ovary female adult (51 year),0
DNASE:hematopoietic multipotent progenitor cell treated with interleukin-3 for 13 days; kit ligand for 13 days; hydrocortisone succinate for 13 days; erythropoietin for 13 days,0.002944
DNASE:cardiac fibroblast female embryo (94 days) and female embryo (98 days),0
DNASE:adrenal gland male embryo (85 days),0
DNASE:large intestine male embryo (108 days),0
DNASE:occipital lobe male adult (84 years),-0.010827
DNASE:right lung female embryo (107 days),0
DNASE:small intestine female embryo (105 days),0
DNASE:muscle of leg male embryo (104 days),0
DNASE:lower leg skin female adult (53 years),0
DNASE:adrenal gland female adult (51 year),0
DNASE:adrenal gland female embryo (85 days),0
DNASE:muscle of arm male embryo (115 days),0
DNASE:right kidney female embryo (147 days),0
DNASE:kidney female embryo (76 days) and male embryo (76 days),0
DNASE:large intestine female embryo (108 days),0
DNASE:right kidney female embryo (98 days),0
DNASE:right renal cortex interstitium male embryo (120 days),0
DNASE:muscle of arm male embryo (96 days),0
DNASE:thymus male embryo (108 days),0
DNASE:B cell female adult (34 years),0
DNASE:thyroid gland male adult (54 years),0
DNASE:spinal cord female embryo (59 days) and male embryo (72 days),0
DNASE:heart embryo (96 days),0
DNASE:renal pelvis female embryo (89 days),0
DNASE:renal pelvis male embryo (108 days),0
DNASE:heart female embryo (103 days),0
DNASE:H9,0
DNASE:K562,0
DNASE:left renal cortex interstitium male embryo (105 days),0
DNASE:right lung female embryo (108 days),0
DNASE:stomach female embryo (96 days),0
DNASE:small intestine male adult (34 years),0
DNASE:renal cortex interstitium female embryo (96 days),0
DNASE:A172,0.017093
DNASE:left lung male embryo (115 days),0
DNASE:muscle of leg male embryo (115 days),0
DNASE:hematopoietic multipotent progenitor cell treated with interleukin-3 for 15 days; kit ligand for 15 days; hydrocortisone succinate for 15 days; erythropoietin for 15 days,0.00586
DNASE:muscle of leg female embryo (115 days),0
DNASE:PC-9,0
DNASE:kidney female embryo (108 days),0
DNASE:stomach embryo (101 day),0
DNASE:H9 G2 phase genetically modified using stable transfection,0
DNASE:esophagus muscularis mucosa male adult (37 years),0
DNASE:small intestine male embryo (108 days),0
DNASE:heart left ventricle female embryo (101 day) and female embryo (103 days),0
DNASE:SK-N-DZ,0
DNASE:brain male embryo (104 days),0
DNASE:right lung male embryo (87 days),0
DNASE:muscle of arm male embryo (105 days),0
DNASE:muscle of arm male embryo (104 days),0
DNASE:kidney female embryo (105 days),0
DNASE:left lung male embryo (105 days),0
